target,f,a,area_diff,folder_name
12.33594242,3.5,0.00275,0.018224991,2022_09_02_20_03_13
5.468665086,6.5,0.0045,0.172295084,2022_09_02_20_50_06
1.626561054,8,0.00625,0.039192725,2022_09_02_22_28_22
4.264800238,5,0.008,0.030830144,2022_09_03_01_36_45
6.054685759,2.463963888,0.008,-0.016005744,2022_09_03_04_02_58
6.226157349,3.982730113,0.007099378,-0.027401633,2022_09_03_05_04_19
5.038234266,3.82173068,0.00494924,0.131290091,2022_09_03_06_45_37
14.19730772,3.072565315,0.002546456,0.009331566,2022_09_03_07_41_13
29.08266292,5.763853269,0.001,-0.001957129,2022_09_03_08_29_15
5.395264065,5.49172292,0.008,-0.038204462,2022_09_03_11_19_27
9.724887754,2.122967183,0.005227351,-0.001067874,2022_09_03_14_02_06
24.52954771,6.1014159,0.001196685,0.006259534,2022_09_03_14_33_45
10.97263539,3.083246668,0.003562929,0.042350778,2022_09_03_16_11_02
24.33147111,5.810966043,0.001,0.000204571,2022_09_03_16_46_48
16.03332471,7.788347421,0.002037285,0.016554201,2022_09_03_19_36_51
1.668111703,5.692409802,0.006314454,-0.002799209,2022_09_03_20_36_03
6.437185507,2.043553269,0.007986066,-0.008772278,2022_09_03_22_38_14
24.84087677,6.063047635,0.001675569,0.013550683,2022_09_03_23_20_37
5.628608634,6.011679933,0.007047118,-0.043203429,2022_09_04_00_03_39
6.448794053,6.147834375,0.008,0.05324368,2022_09_04_02_38_19
5.87204533,5.85268128,0.008,-0.031960068,2022_09_04_05_46_45
7.632040285,6.111355884,0.00410577,0.142399754,2022_09_04_08_44_08
2.780091033,7.471680267,0.005454163,-0.01561502,2022_09_04_10_01_48
6.980841108,2.427720464,0.007735585,-0.012436317,2022_09_04_12_24_42
6.709545933,4.683546091,0.007603534,-0.000592764,2022_09_04_13_24_29
6.577878071,5.593644881,0.00755352,-0.003624178,2022_09_04_15_33_38
10.27425462,6.5,0.00275,0.020362403,2022_09_07_20_09_00
9.448543606,3.5,0.0045,0.065596157,2022_09_07_21_10_12
8.136147162,2,0.00625,-0.000415561,2022_09_07_21_59_59
8.291533603,8,0.008,0.008638799,2022_09_07_22_38_16
9.048681112,5.765081101,0.003551673,0.124322895,2022_09_08_02_57_51
19.16414244,4.998519575,0.002312203,0.019020337,2022_09_08_04_02_14
15.14870046,2.001816858,0.002761142,0.024346628,2022_09_08_04_45_01
26.72129341,5.761558945,0.001789321,0.008387344,2022_09_08_05_58_49
22.55818157,5.003504332,0.001577877,0.008244179,2022_09_08_06_43_37
21.46771443,5.003544113,0.002197915,0.017126645,2022_09_08_07_29_48
